"","Name","Filename","ID","gagelat","gagelong","HUC_12","geometry"
"1","Porter Creek above Fish Antennae","TU_Gages_SWRCB.shp","T1",38.5184080070001,-122.891712986,"180101100902",c(-122.891712986, 38.5184080070001)
"2","Porter Creek at Weir","TU_Gages_SWRCB.shp","T2",38.5209034740001,-122.894998186,"180101100902",c(-122.894998186, 38.5209034740001)
"3","Porter Creek below 2nd Release","TU_Gages_SWRCB.shp","T3",38.5305038600001,-122.899215999,"180101100902",c(-122.899215999, 38.5305038600001)
"4","Mill Creek at Bear Flat","TU_Gages_SWRCB.shp","T4",38.5967080589298,-122.964992519289,"180101100506",c(-122.964992519289, 38.5967080589298)
"5","Mill Creek above the Falls","TU_Gages_SWRCB.shp","T5",38.5828432990791,-122.891566049733,"180101100506",c(-122.891566049733, 38.5828432990791)
"6","Mill Creek Above Wallace Creek","TU_Gages_SWRCB.shp","T6",38.5958549998085,-122.914477000113,"180101100506",c(-122.914477000113, 38.5958549998085)
"7","Mill Creek below Puccioni Road","TU_Gages_SWRCB.shp","T7",38.5867008465669,-122.930221272893,"180101100506",c(-122.930221272893, 38.5867008465669)
"8","Green Valley Creek at Bones Road","TU_Gages_SWRCB.shp","T8",38.4367552225755,-122.909414483392,"180101100901",c(-122.909414483392, 38.4367552225755)
"9","Purrington Creek near Graton Road","TU_Gages_SWRCB.shp","T9",38.4310687616141,-122.89242310814,"180101100901",c(-122.89242310814, 38.4310687616141)
"10","Green Valley Creek near Harrison Grade Road","TU_Gages_SWRCB.shp","T10",38.4424899996138,-122.917378999941,"180101100901",c(-122.917378999941, 38.4424899996138)
"11","Green Valley Creek below Bones Road","TU_Gages_SWRCB.shp","T11",38.435619299691,-122.908958406605,"180101100901",c(-122.908958406605, 38.435619299691)
"12","Mark West Creek Below Tarwater Road","TU_Gages_SWRCB.shp","T12",38.5191519196254,-122.614430795345,"180101100706",c(-122.614430795345, 38.5191519196254)
"13","Mark West Above Porter Creek","TU_Gages_SWRCB.shp","T13",38.5414362880543,-122.682620111529,"180101100706",c(-122.682620111529, 38.5414362880543)
"14","Grape Above Wine Creek confluence","TU_Gages_SWRCB.shp","T14",38.6551923682333,-122.948440586963,"180101100507",c(-122.948440586963, 38.6551923682333)
"15","Grape Creek below Wine Creek confluence","TU_Gages_SWRCB.shp","T15",38.6549496448103,-122.944611069545,"180101100507",c(-122.944611069545, 38.6549496448103)
"16","Grape Creek at West Dry Creek Road","TU_Gages_SWRCB.shp","T16",38.6563281067568,-122.938145893718,"180101100507",c(-122.938145893718, 38.6563281067568)
"17","Dutch Bill near Grub Creek","TU_Gages_SWRCB.shp","T17",38.4390790509575,-122.976168885386,"180101100903",c(-122.976168885386, 38.4390790509575)
"18","Dutch Bill Creek Above Tyrone Road","TU_Gages_SWRCB.shp","T18",38.4433133298464,-122.994053443911,"180101100903",c(-122.994053443911, 38.4433133298464)
"19","Dutch Bill Below Tyrone Road","TU_Gages_SWRCB.shp","T19",38.4506078604645,-123.00029565622,"180101100903",c(-123.00029565622, 38.4506078604645)
"20","Mill Creek @ MCL","TU_Gages_SWRCB.shp","T20",38.5898080177259,-122.901995150256,"180101100506",c(-122.901995150256, 38.5898080177259)
"21","Green Valley Creek near Upp Road","TU_Gages_SWRCB.shp","T21",38.4339535556122,-122.901471203433,"180101100901",c(-122.901471203433, 38.4339535556122)
"22","Lower Mill Creek near Bramkampo Rd","TU_Gages_SWRCB.shp","T22",38.5849051709041,-122.876071752997,"180101100506",c(-122.876071752997, 38.5849051709041)
"23","Lower Mill Creek at Teepee","TU_Gages_SWRCB.shp","T23",38.5834284658289,-122.877502608408,"180101100506",c(-122.877502608408, 38.5834284658289)
"24","Salt Ck @ Salt Creek CG","Trinity sites_SWRCB.shp","Tr1",40.4258477925169,-123.114578504013,"180102120301",c(-123.114578504013, 40.4258477925169)
"25","Upper West Weaver","Trinity sites_SWRCB.shp","Tr2",40.7424207465157,-122.967948661596,"180102110705",c(-122.967948661596, 40.7424207465157)
"26","Browns Ck @ B Bar K Rd.","Trinity sites_SWRCB.shp","Tr3",40.6506088767542,-122.985215681654,"180102110602",c(-122.985215681654, 40.6506088767542)
"27","Reading at Mouth","Trinity sites_SWRCB.shp","Tr8",40.6427534791904,-122.952855310238,"180102110706",c(-122.952855310238, 40.6427534791904)
"28","Browns at HW3","Trinity sites_SWRCB.shp","Tr9",40.6247345024453,-122.955201588097,"180102110602",c(-122.955201588097, 40.6247345024453)
"29","EF Hayfork Ck u/s of Hayfork Ck","Trinity sites_SWRCB.shp","Tr10",40.4896089524074,-123.062901786917,"180102120201",c(-123.062901786917, 40.4896089524074)
"30","Browns at Deerlick","Trinity sites_SWRCB.shp","Tr11",40.5269996075534,-122.938559416736,"180102110601",c(-122.938559416736, 40.5269996075534)
"31","Hayfork Ck @ Shiell Gulch CG","Trinity sites_SWRCB.shp","Tr12",40.4702163520332,-123.060122597491,"180102120202",c(-123.060122597491, 40.4702163520332)
"32","Hayfork Ck near Wildwood","Trinity sites_SWRCB.shp","Tr14",40.3819082502964,-123.069213519994,"180102120202",c(-123.069213519994, 40.3819082502964)
"33","Big Ck u/s of Hayfork Valley","Trinity sites_SWRCB.shp","Tr15",40.593514674014,-123.151088177881,"180102120204",c(-123.151088177881, 40.593514674014)
"34","Big Ck u/s of HWY 3","Trinity sites_SWRCB.shp","Tr18",40.5536866153974,-123.144403565722,"180102120204",c(-123.144403565722, 40.5536866153974)
"35","E&W Weaver Confluence","Trinity sites_SWRCB.shp","Tr19",40.7210513539225,-122.940434451258,"180102110705",c(-122.940434451258, 40.7210513539225)
"36","Post Ck","Trinity sites_SWRCB.shp","Tr20",40.3916364309529,-123.275750828427,"180102120401",c(-123.275750828427, 40.3916364309529)
"37","E Br East Weaver","Trinity sites_SWRCB.shp","Tr21",40.7703406017959,-122.918921076168,"180102110705",c(-122.918921076168, 40.7703406017959)
"38","Salt Ck near 31N38","Trinity sites_SWRCB.shp","Tr23",40.495791380244,-123.170675170021,"180102120301",c(-123.170675170021, 40.495791380244)
"39","Matanzas Reservoir","Alart2Sites_SWRCB.shp","Al1",38.4065512331466,-122.651466025402,"180101100702",c(-122.651466025402, 38.4065512331466)
"40","Brush Creek at Badger Rd","Alart2Sites_SWRCB.shp","Al2",38.482279956921,-122.672963060723,"180101100702",c(-122.672963060723, 38.482279956921)
"41","Piner Creek at Hopper Ave","Alart2Sites_SWRCB.shp","Al3",38.4797025715287,-122.741068601702,"180101100703",c(-122.741068601702, 38.4797025715287)
"42","Spring Creek at Diversion","Alart2Sites_SWRCB.shp","Al4",38.4401394508628,-122.648335222623,"180101100702",c(-122.648335222623, 38.4401394508628)
"43","Spring Lake","Alart2Sites_SWRCB.shp","Al5",38.457409842065,-122.65823791048,"180101100702",c(-122.65823791048, 38.457409842065)
"44","Linda Creek at Mark West Springs Rd","Alart2Sites_SWRCB.shp","Al7",38.5068287707192,-122.723825100021,"180101100706",c(-122.723825100021, 38.5068287707192)
"45","Matanzas Creek at Bennett Valley Rd","Alart2Sites_SWRCB.shp","Al9",38.4139442454233,-122.657487313537,"180101100702",c(-122.657487313537, 38.4139442454233)
"46","Mark West Creek at Porter Creek Rd","Alart2Sites_SWRCB.shp","Al10",38.5495171054629,-122.720291503805,"180101100706",c(-122.720291503805, 38.5495171054629)
"47","Santa Angelina Ranch near USGS Maacama Gage","Alart2Sites_SWRCB.shp","Al13",38.6694863076233,-122.74233451872,"180101100604",c(-122.74233451872, 38.6694863076233)
"48","Mark West Regional Park","Alart2Sites_SWRCB.shp","Al14",38.5362772373907,-122.701875107297,"180101100706",c(-122.701875107297, 38.5362772373907)
